name;;aTalk;
Summary;;Jabber/XMPP client for android with video calls and GPS features https://cmeng-git.github.io/atalk/;
Screenshots;;https://atalk.sytes.net/atalk/;
Android Google Play;yes;https://play.google.com/store/apps/details?id=org.atalk.android;
Android F-droid/apk;yes;https://f-droid.org/en/packages/org.atalk.android/;
Other mobile;no;;
Apple iOS;no;;
Desktop;no;;
Web;no;;
Languages;yes;7 https://github.com/cmeng-git/atalk-android/tree/master/aTalk/src/main/res;
Protocol;;Jabber/XMPP;
Protocol open;yes;;
Client license;yes;Apache-2.0 https://github.com/cmeng-git/atalk-android/blob/master/LICENSE;
Register without app;yes;;
Group chat;yes;;https://atalk.sytes.net/atalk/ OMEMO encryption in group chat session enhancing privacy and security
Voice calls;yes;;https://atalk.sytes.net/atalk/
Video calls;yes;;https://atalk.sytes.net/atalk/
Group calls;no;;
Voice messages;no;;
Screen sharing;no;;
File transfer;yes;;https://atalk.sytes.net/atalk/
Message formatting;no;;
Emoticons in message;yes;;
Link preview;yes;;https://atalk.sytes.net/atalk/ Share of social media links are tagged with thumbnail and title
Multiple devices;yes;;
Multiple accounts;yes;;https://atalk.sytes.net/atalk/
Application locking;no;;
Presence status;yes;;
Read receipts;yes;;
Receipts not mandatory;yes;;Not mandatory
Threat model;no;;
End-to-end encryption;yes;https://cmeng-git.github.io/atalk/index.html;End-to-End encryption with OMEMO or OTR
Perfect forward secrecy;no;;
Security team;no;;
Large bug bounty;no;;
Usage without phone number;yes;;
Transparent financing;no;;
Active development;yes;;
Multi-party development;no;;
Identity not controlled by vendor;yes;;
Offline;no;;Can't be used without internet
Servers required;;XMPP server;
Serverless WAN mode;no;;
Serverless LAN mode;no;;
Bots available;yes;https://github.com/topics/xmpp-bot;
First release;yes;2018-01-07? https://github.com/cmeng-git/atalk-android/releases/tag/1.0.1;
Public issue tracker;yes;https://github.com/cmeng-git/atalk-android/issues;
