name;;Telegram;
Android Google Play;yes;https://play.google.com/store/apps/details?id=org.telegram.messenger;
Android F-droid/apk;no;;
Apple iOS;yes;https://apps.apple.com/us/app/telegram-messenger/id686449807;
Desktop;yes;https://desktop.telegram.org/;
Web;yes;https://web.telegram.org;
Languages;yes;many https://translations.telegram.org/;
Protocol;;MTProto https://core.telegram.org/mtproto;
Protocol open;yes;https://core.telegram.org/mtproto;
Server license;no;proprietary;
Client license;yes;GPLv2 / GPLv3 https://github.com/DrKLO/Telegram/blob/master/LICENSE https://github.com/overtake/TelegramSwift/blob/master/LICENSE https://github.com/telegramdesktop/tdesktop/blob/dev/LICENSE;
Register without app;no;;
Group chat;yes;;
Voice calls;yes;;
Video calls;yes;;
Group calls;yes;;
Voice messages;yes;;https://ik4.es/en/how-to-send-audio-on-telegram-and-record-voice-message/
Screen sharing;yes;;https://www.androidauthority.com/telegram-group-video-calls-screen-sharing-1239553/ there is also a way to do it using obs, but citation needed.
File transfer;yes;;note it does compress images and video by default https://www.makeuseof.com/send-uncompressed-photos-videos-telegram/
Message formatting;partial;https://tgraph.io/markdown-07-07 https://core.telegram.org/bots/api#markdownv2-style;basic
Emoticons in message;yes;;
Emoji composer;yes;;emote button and use : and start typing to put emotes quickly
Sticker packs;yes;;https://telegramchannels.me/stickers
Link preview;yes;https://telegram.org/blog/link-preview;
Inline images;yes;;
Inline videos;yes;;
Polls;yes;;https://telegram.org/blog/polls-2-0-vmq
Reactions;yes;https://telegram.org/blog/reactions-spoilers-translations;
Read public content without registering;no;;
Multiple devices;yes;;
Online account replica;yes;is web based;
Multiple accounts;yes;3;
Application locking;yes;Android - custom 4 digit PIN + system fingerprint https://telegram.org/blog/photo-editor-and-passcodes;
Remote message removal;partial;https://www.howtogeek.com/710375/how-to-delete-telegram-messages-and-chat-histories/;
Remote message correction;partial;only with secret chats (e2ee) disabled;
Message expiration;partial;1:1 secret chats and some media, only on mobile;Only for 1:1 secret chats (not default) on mobile and media in private cloud chats https://telegram.org/faq#q-how-do-self-destructing-messages-work
Presence status;yes;;
Presence not mandatory;yes;https://telegram.org/blog/privacy-revolution;
Typing indication;partial;cannot be disabled https://bugs.telegram.org/c/991;
Read receipts;yes;https://telegram.org/faq#q-what-do-the-check-marks-mean;
Receipts not mandatory;no;;
Themes;yes;https://telegram.org/blog/android-themes;full customization
Account deactivation after device compromise;partial;Only for secondary devices;
End-to-end encryption;partial;Only for 1:1 secret chats (not default) on mobile https://telegram.org/faq#q-how-are-secret-chats-different;
Reproducible builds;yes;iOS, Android https://core.telegram.org/reproducible-builds;
Usage without phone number;no;;
No-cost tier;yes;;
Active development;yes;;
User can extend network with node;no;;
Identity not controlled by vendor;no;;
Offline;partial;Compose or read stored messages;
Third party clients;yes;;
Bots available;yes;https://core.telegram.org/bots https://telegramchannels.me/bots;
Good ToSDR grade;yes;B https://tosdr.org/en/service/1946;
First release;yes;2013-08-14 https://en.wikipedia.org/wiki/Telegram_(software);
No past client vulnerabilities;no;;surreptitious sharing https://threatpost.com/surreptitious-sharing-android-api-flaw-leaks-data-private-keys/117174/ https://words.filippo.io/dispatches/telegram-ecdh/
