name;;Elixxir xx;
Summary;;Paid chat on blockchain;Messaging app powered by the quantum-resistant and decentralized xx network https://elixxir.io/
Android Google Play;yes;https://play.google.com/store/apps/details?id=io.xxlabs.messenger;
Android F-droid/apk;partial;apk yes, F-droid no.;the apk is a bit hard to find on the website. look for "android source code" section, there it is.
Apple iOS;yes;https://apps.apple.com/rs/app/xx-messenger/id1593670957;
Desktop;no;https://xx.network/messenger/;
Web;no;https://xx.network/messenger/;
Languages;no;1 https://apps.apple.com/rs/app/xx-messenger/id1593670957;
Protocol;;blockchain and mixnet;xx blockchain coin based on Praxxis with xx cMix mixnet privacy layer
Server license;no;proprietary;
Client license;yes;BSD-2-Clause https://git.xx.network/elixxir/client-android https://git.xx.network/elixxir/client-ios;
Audits;no;;
Transparent financing;no;cryptocoin backed by VC https://xx.network/coin/ https://pitchbook.com/profiles/vendor/266442-76;
No-cost tier;no;https://xx.network/coin/;
Servers required;;FCM;Won't work on LineageOS
Third party clients;partial;no alternative client;
Vendor jurisdiction;;USA and Cayman Islands offshore;xx cMix privacy layer in Los Angeles https://xx.network/faq/#elementor-tab-title-1722
First release;partial;2019-11-05 https://xx.network/archive/elixxir-releases-xx-messenger/;
Public issue tracker;partial;https://git.xx.network/groups/elixxir/-/issues requires registration;
