name;;Zoom;
Summary;;proprietary freemium videotelephony app https://zoom.us/;
Android Google Play;yes;https://play.google.com/store/apps/details?id=us.zoom.videomeetings;
Server license;no;proprietary;
Client license;no;proprietary;
Good ToSDR grade;no;E https://tosdr.org/en/service/2198;
Public issue tracker;no;https://support.zoom.us/hc/en-us/articles/201362003-Contact-Zoom-Support;
No past client vulnerabilities;no;https://theguardian.com/technology/2020/apr/02/zoom-technology-security-coronavirus-video-conferencing;
No past server vulnerabilities;no;https://vice.com/en/article/k7e95m/zoom-leaking-email-addresses-photos;
No past privacy glitches;no;;Zoom iOS https://vice.com/en_us/article/k7e599/zoom-ios-app-sends-data-to-facebook-even-if-you-dont-have-a-facebook-account attorney https://www.nytimes.com/2020/03/30/technology/new-york-attorney-general-zoom-privacy.html privacy https://blogs.harvard.edu/doc/2020/03/27/zoom/ E2EE lie https://arstechnica.com/tech-policy/2020/11/zoom-lied-to-users-about-end-to-end-encryption-for-years-ftc-says/
